protein_ID,ASCA_PC1_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC101063838.1.1.m.50540,0.0305057914800787,Yes,darkorange3,orange,Q5BJI9,Probable signal peptidase complex subunit 2 (EC 3.4.-.-) (Microsomal signal peptidase 25 kDa subunit) (SPase 25 kDa subunit),SPCS2 family,spcs2 zgc:110364,integral component of membrane [GO:0016021]; organelle membrane [GO:0031090]; signal peptidase complex [GO:0005787]; peptidase activity [GO:0008233]; protein targeting to ER [GO:0045047]; signal peptide processing [GO:0006465],GO:0005787; GO:0006465; GO:0008233; GO:0016021; GO:0031090; GO:0045047,GO:0006465,cellular nitrogen compound metabolic process; protein maturation
CHOYP_contig_044078.m.50900,0.0443280051397942,Yes,darkorange3,orange,Q01484,Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin),,ANK2 ANKB,A band [GO:0031672]; apical plasma membrane [GO:0016324]; axon initial segment [GO:0043194]; basolateral plasma membrane [GO:0016323]; costamere [GO:0043034]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early endosome [GO:0005769]; intercalated disc [GO:0014704]; lysosome [GO:0005764]; M band [GO:0031430]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; recycling endosome [GO:0055037]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; phosphorylation-dependent protein binding [GO:0140031]; protein binding; bridging [GO:0030674]; protein kinase binding [GO:0019901]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; atrial cardiac muscle cell action potential [GO:0086014]; atrial cardiac muscle cell to AV node cell communication [GO:0086066]; atrial septum development [GO:0003283]; cellular calcium ion homeostasis [GO:0006874]; cellular protein localization [GO:0034613]; endocytosis [GO:0006897]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; membrane depolarization during SA node cell action potential [GO:0086046]; paranodal junction assembly [GO:0030913]; positive regulation of calcium ion transmembrane transporter activity [GO:1901021]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cation channel activity [GO:2001259]; positive regulation of gene expression [GO:0010628]; positive regulation of potassium ion transmembrane transporter activity [GO:1901018]; positive regulation of potassium ion transport [GO:0043268]; protein localization to cell surface [GO:0034394]; protein localization to endoplasmic reticulum [GO:0070972]; protein localization to M-band [GO:0036309]; protein localization to organelle [GO:0033365]; protein localization to plasma membrane [GO:0072659]; protein localization to T-tubule [GO:0036371]; protein stabilization [GO:0050821]; protein transport [GO:0015031]; regulation of atrial cardiac muscle cell action potential [GO:0098910]; regulation of calcium ion transmembrane transporter activity [GO:1901019]; regulation of calcium ion transport [GO:0051924]; regulation of cardiac muscle cell contraction [GO:0086004]; regulation of cardiac muscle contraction [GO:0055117]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of heart rate [GO:0002027]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of protein stability [GO:0031647]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; regulation of SA node cell action potential [GO:0098907]; regulation of ventricular cardiac muscle cell membrane repolarization [GO:0060307]; response to methylmercury [GO:0051597]; SA node cell action potential [GO:0086015]; SA node cell to atrial cardiac muscle cell communication [GO:0086070]; sarcoplasmic reticulum calcium ion transport [GO:0070296]; T-tubule organization [GO:0033292]; ventricular cardiac muscle cell action potential [GO:0086005],GO:0002027; GO:0003283; GO:0005200; GO:0005739; GO:0005764; GO:0005769; GO:0005829; GO:0005856; GO:0005886; GO:0006874; GO:0006888; GO:0006897; GO:0010628; GO:0010881; GO:0010882; GO:0014704; GO:0015031; GO:0016020; GO:0016323; GO:0016324; GO:0019899; GO:0019901; GO:0030018; GO:0030315; GO:0030507; GO:0030674; GO:0030913; GO:0031430; GO:0031647; GO:0031672; GO:0033292; GO:0033365; GO:0034394; GO:0034613; GO:0036309; GO:0036371; GO:0042383; GO:0043034; GO:0043194; GO:0043268; GO:0044325; GO:0045121; GO:0045211; GO:0050821; GO:0051117; GO:0051279; GO:0051597; GO:0051924; GO:0051928; GO:0055037; GO:0055117; GO:0060307; GO:0070296; GO:0070972; GO:0072659; GO:0086004; GO:0086005; GO:0086014; GO:0086015; GO:0086046; GO:0086066; GO:0086070; GO:0086091; GO:0098907; GO:0098910; GO:0140031; GO:1901018; GO:1901019; GO:1901021; GO:2001259,GO:0003283; GO:0010881; GO:0033292; GO:0060307; GO:0086005; GO:0086091; GO:0098910; GO:1901018,circulatory system process; transport; plasma membrane organization; signal transduction; cell-cell signaling; cell differentiation; homeostatic process; anatomical structure development; transmembrane transport; membrane organization
CHOYP_LOC100367954.2.2.m.66596,0.0330352679700459,Yes,darkorange3,orange,E9Q3C1,C2 domain-containing protein 2,,C2cd2 Kiaa4045,integral component of membrane [GO:0016021],GO:0016021,NA,NA
CHOYP_FABP6.2.2.m.59518,-0.0270908127134586,Yes,darkorange3,orange,O01812,Fatty acid-binding protein homolog 6,Calycin superfamily; Fatty-acid binding protein (FABP) family,lbp-6 W02D3.5,lipid binding [GO:0008289],GO:0008289,NA,NA
CHOYP_LOC100373522.2.5.m.19698,0.0490810796688082,Yes,darkorange3,orange,Q95230,Sperm surface protein Sp17 (Sperm autoantigenic protein 17),,SPA17 SP17,membrane [GO:0016020]; binding of sperm to zona pellucida [GO:0007339],GO:0007339; GO:0016020,NA,NA
CHOYP_LOC101065149.1.1.m.49591,0.041130409239496,Yes,darkorange3,orange,Q6P7S1,Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylsphingosine amidohydrolase),Acid ceramidase family,Asah1,lysosome [GO:0005764]; ceramidase activity [GO:0102121]; hydrolase activity; acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; N-acylsphingosine amidohydrolase activity [GO:0017040]; lipid metabolic process [GO:0006629]; lung development [GO:0030324]; response to organic substance [GO:0010033],GO:0005764; GO:0006629; GO:0010033; GO:0016810; GO:0017040; GO:0030324; GO:0102121,NA,NA
CHOYP_NEMVEDRAFT_V1G154974.1.1.m.44261,0.0366644733861516,Yes,darkorange3,orange,Q9Y1A3,Mitochondrial import inner membrane translocase subunit Tim8,Small Tim family,Tim8 CG1728,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]; metal ion binding [GO:0046872]; P-P-bond-hydrolysis-driven protein transmembrane transporter activity [GO:0015450]; chaperone-mediated protein transport [GO:0072321]; protein targeting to mitochondrion [GO:0006626],GO:0005739; GO:0005744; GO:0005758; GO:0006626; GO:0015450; GO:0046872; GO:0072321,NA,NA
CHOYP_F10A1.4.4.m.44752,0.0313031920060396,Yes,darkorange3,orange,Q5ZLF0,Hsc70-interacting protein (Hip) (Protein FAM10A1) (Protein ST13 homolog),FAM10 family,ST13 FAM10A1 RCJMB04_6h13,cytoplasm [GO:0005737]; protein dimerization activity [GO:0046983]; chaperone cofactor-dependent protein refolding [GO:0051085],GO:0005737; GO:0046983; GO:0051085,NA,NA
CHOYP_SSU72.1.1.m.2079,0.0308484717417427,Yes,darkorange3,orange,Q5ZJQ7,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16),SSU72 phosphatase family,SSU72 RCJMB04_16f24,cytoplasm [GO:0005737]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]; dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; mRNA polyadenylation [GO:0006378]; termination of RNA polymerase II transcription [GO:0006369],GO:0005737; GO:0005847; GO:0006369; GO:0006378; GO:0008420; GO:0070940,NA,NA
CHOYP_LOC584270.1.1.m.49225,0.0342410727824284,Yes,darkorange3,orange,Q9NX08,COMM domain-containing protein 8,,COMMD8 MDS022,cytosol [GO:0005829]; nucleoplasm [GO:0005654],GO:0005654; GO:0005829,NA,NA
CHOYP_LOC100369290.1.1.m.66929,0.0410383633240411,Yes,darkorange3,orange,A4IF78,Tumor necrosis factor alpha-induced protein 8 (TNF alpha-induced protein 8),TNFAIP8 family,TNFAIP8,cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; positive regulation of apoptotic process [GO:0043065],GO:0005654; GO:0005737; GO:0043027; GO:0043065,NA,NA
CHOYP_MOB1.1.1.m.19452,0.03065938692188,Yes,darkorange3,orange,Q95RA8,MOB kinase activator-like 1 (Mob as tumor suppressor protein 1) (Dmob1) (Mps one binder kinase activator-like 1),MOB1/phocein family,mats CG13852,centrosome [GO:0005813]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; protein kinase activator activity [GO:0030295]; protein kinase binding [GO:0019901]; apoptotic process [GO:0006915]; cell proliferation [GO:0008283]; chromosome segregation [GO:0007059]; hippo signaling [GO:0035329]; multicellular organism development [GO:0007275]; ovarian follicle cell development [GO:0030707]; signal transduction [GO:0007165],GO:0005634; GO:0005813; GO:0005829; GO:0005886; GO:0006915; GO:0007059; GO:0007165; GO:0007275; GO:0008283; GO:0019901; GO:0030295; GO:0030707; GO:0035329; GO:0046872,NA,NA
CHOYP_QPCT.1.1.m.38977,0.0335783781504979,Yes,darkorange3,orange,Q16769,Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (sQC) (Glutaminyl-tRNA cyclotransferase) (Glutamyl cyclase) (EC),Glutaminyl-peptide cyclotransferase family,QPCT,extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; glutaminyl-peptide cyclotransferase activity [GO:0016603]; zinc ion binding [GO:0008270]; cellular protein modification process [GO:0006464]; neutrophil degranulation [GO:0043312]; peptidyl-pyroglutamic acid biosynthetic process; using glutaminyl-peptide cyclotransferase [GO:0017186],GO:0005576; GO:0006464; GO:0008270; GO:0016603; GO:0017186; GO:0035580; GO:0043312; GO:0070062; GO:1904724; GO:1904813,NA,NA
CHOYP_ACT.23.27.m.58454,-0.0446527872630919,Yes,darkorange3,orange,O17320,Actin,Actin family,,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524],GO:0005524; GO:0005737; GO:0005856,NA,NA
CHOYP_LOC752782.1.1.m.53937,0.048493091032282,Yes,darkorange3,orange,O17320,Actin,Actin family,,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524],GO:0005524; GO:0005737; GO:0005856,NA,NA
CHOYP_BRAFLDRAFT_208436.28.32.m.61328,0.0359931571855254,Yes,darkorange3,orange,Q96MM6,Heat shock 70 kDa protein 12B,Heat shock protein 70 family,HSPA12B C20orf60,ATP binding [GO:0005524],GO:0005524,NA,NA
CHOYP_NF70.1.4.m.31159,0.0322165200520798,Yes,darkorange3,orange,Q01240,60 kDa neurofilament protein (NF60),Intermediate filament family,,intermediate filament [GO:0005882]; structural molecule activity [GO:0005198],GO:0005198; GO:0005882,NA,NA
CHOYP_BRAFLDRAFT_284774.2.3.m.15260,0.0704176209644959,Yes,darkorange3,orange,P80895,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PIMT) (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl/D-aspartyl methyltransferase) (Protein-beta-aspartate methyltransferase),Methyltransferase superfamily; L-isoaspartyl/D-aspartyl protein methyltransferase family,PCMT1,cytoplasm [GO:0005737]; protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719],GO:0004719; GO:0005737,NA,NA
CHOYP_CLK2.1.1.m.3081,0.0322135811002148,Yes,darkorange3,orange,P49760,Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2),Protein kinase superfamily; CMGC Ser/Thr protein kinase family; Lammer subfamily,CLK2,nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; negative regulation of gluconeogenesis [GO:0045721]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of RNA splicing [GO:0043484]; response to ionizing radiation [GO:0010212]; response to retinoic acid [GO:0032526],GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005654; GO:0006468; GO:0010212; GO:0016604; GO:0016607; GO:0032526; GO:0042802; GO:0043484; GO:0045721; GO:0046777,NA,NA
CHOYP_GPX1.1.4.m.11300,0.0416062538913523,Yes,darkorange3,orange,Q8MJ14,Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase),Glutathione peroxidase family,GPX1,cytoplasm [GO:0005737]; glutathione peroxidase activity [GO:0004602]; response to oxidative stress [GO:0006979],GO:0004602; GO:0005737; GO:0006979,NA,NA
CHOYP_LOC592142.4.9.m.49474,0.0383919068787085,Yes,darkorange3,orange,C3YWU0,Alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase),Glycosyl hydrolase 29 family,BRAFLDRAFT_56888,extracellular region [GO:0005576]; lysosome [GO:0005764]; alpha-L-fucosidase activity [GO:0004560]; fucose metabolic process [GO:0006004]; glycoside catabolic process [GO:0016139],GO:0004560; GO:0005576; GO:0005764; GO:0006004; GO:0016139,NA,NA
CHOYP_RPS24.1.8.m.571,0.0315352226691116,Yes,darkorange3,orange,O42387,40S ribosomal protein S24,Eukaryotic ribosomal protein eS24 family,rps24,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],GO:0003735; GO:0005840; GO:0006412,NA,NA
CHOYP_LOC100730443.1.1.m.57698,0.0436145546105187,Yes,darkorange3,orange,Q4V348,Zinc finger protein 658B,Krueppel C2H2-type zinc-finger protein family,ZNF658B,nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872],GO:0003677; GO:0005634; GO:0046872,NA,NA
CHOYP_LOC660510.1.1.m.56258,0.044670005895181,Yes,darkorange3,orange,Q8BHR2,Ecto-NOX disulfide-thiol exchanger 1 (Constitutive Ecto-NOX) (cNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)],ENOX family,Enox1,external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; nucleic acid binding [GO:0003676]; oxidoreductase activity [GO:0016491]; ultradian rhythm [GO:0007624],GO:0003676; GO:0005615; GO:0005886; GO:0007624; GO:0009897; GO:0016491,NA,NA
CHOYP_DSIM_GD24875.1.1.m.66201,0.0303368277715688,Yes,darkorange3,orange,Q3T149,Heat shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27),Small heat shock protein (HSP20) family,HSPB1 HSP27,axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle [GO:0005819]; identical protein binding [GO:0042802]; protein binding involved in protein folding [GO:0044183]; protein homodimerization activity [GO:0042803]; anterograde axonal protein transport [GO:0099641]; chaperone-mediated protein folding [GO:0061077]; regulation of protein phosphorylation [GO:0001932],GO:0001932; GO:0005634; GO:0005737; GO:0005819; GO:0042802; GO:0042803; GO:0044183; GO:0061077; GO:0099641; GO:1904115,NA,NA
CHOYP_LOC576797.1.1.m.8986,0.0369697790528176,Yes,darkorange3,orange,O43822,Cilia- and flagella-associated protein 410 (C21orf-HUMF09G8.5) (Leucine-rich repeat-containing protein 76) (YF5/A2),,CFAP410 C21orf2 LRRC76,ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; motile cilium [GO:0031514]; photoreceptor connecting cilium [GO:0032391]; photoreceptor outer segment [GO:0001750]; plasma membrane [GO:0005886]; cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; cytoskeleton organization [GO:0007010]; DNA damage response; detection of DNA damage [GO:0042769]; motile cilium assembly [GO:0044458]; regulation of cell shape [GO:0008360],GO:0001750; GO:0005737; GO:0005739; GO:0005886; GO:0005929; GO:0007010; GO:0008360; GO:0031514; GO:0032391; GO:0036064; GO:0042769; GO:0044458; GO:0060271; GO:0060294,NA,NA
CHOYP_contig_009176.m.10652,0.0374665555063314,Yes,darkorange3,orange,Q9NR12,PDZ and LIM domain protein 7 (LIM mineralization protein) (LMP) (Protein enigma),,PDLIM7 ENIGMA,actin cytoskeleton [GO:0015629]; cell-cell adherens junction [GO:0005913]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; ruffle [GO:0001726]; stress fiber [GO:0001725]; metal ion binding [GO:0046872]; actin cytoskeleton organization [GO:0030036]; axon guidance [GO:0007411]; ossification [GO:0001503]; positive regulation of osteoblast differentiation [GO:0045669]; receptor-mediated endocytosis [GO:0006898],GO:0001503; GO:0001725; GO:0001726; GO:0005634; GO:0005829; GO:0005913; GO:0005925; GO:0006898; GO:0007411; GO:0015629; GO:0030036; GO:0045669; GO:0046872,NA,NA
