protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_TNNC2.1.1.m.32533,-0.00241705527944329,0.025582234233587,Yes,wheat1,pale yellow,P02595,Calmodulin (CaM),Calmodulin family,,calcium ion binding [GO:0005509],GO:0005509,NA,NA
CHOYP_LOC100371332.1.6.m.7760,-0.0237705973988838,-0.00558241013870157,Yes,wheat1,pale yellow,Q28864,Tissue factor pathway inhibitor (TFPI) (Extrinsic pathway inhibitor) (EPI) (Lipoprotein-associated coagulation inhibitor) (LACI),,TFPI TFPI1,extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]; blood coagulation [GO:0007596],GO:0004867; GO:0005615; GO:0007596,NA,NA
CHOYP_contig_005590.m.6345,-0.0243907501098191,-0.000256305709932994,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_024582.m.27943,-0.0239403354052789,0.00345172239032569,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_025827.m.29484,-0.0236116147552634,0.00735930796490349,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_DMOJ_GI23261.2.2.m.30988,-0.023677268744654,0.00762553872117374,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_DWIL_GK12566.1.1.m.26720,-0.0237504614196873,0.00800712345683085,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376426.1.3.m.28097,-0.0237599394354942,0.00301814173255899,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100905544.1.3.m.6504,-0.0236049931166272,0.0090659519691765,Yes,wheat1,pale yellow,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_DPSE_GA19599.1.1.m.64309,0.00455009652821305,-0.0271962623902599,Yes,salmon,salmon,P58365,Cadherin-23 (Otocadherin),,Cdh23,apical part of cell [GO:0045177]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; stereocilium [GO:0032420]; calcium ion binding [GO:0005509]; protein N-terminus binding [GO:0047485]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor cell stereocilium organization [GO:0060122]; locomotory behavior [GO:0007626]; sensory perception of sound [GO:0007605],GO:0005509; GO:0005886; GO:0007156; GO:0007605; GO:0007626; GO:0016021; GO:0032420; GO:0045177; GO:0047485; GO:0060122,GO:0060122,cell differentiation; anatomical structure development
CHOYP_CRE_01395.2.2.m.44269,0.000408386986727626,-0.0269759139425633,Yes,salmon,salmon,P22105,Tenascin-X (TN-X) (Hexabrachion-like protein),Tenascin family,TNXB HXBL TNX TNXB1 TNXB2 XB,collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular [GO:0005622]; collagen fibril binding [GO:0098633]; extracellular matrix structural constituent [GO:0005201]; heparin binding [GO:0008201]; integrin binding [GO:0005178]; actin cytoskeleton organization [GO:0030036]; cell adhesion [GO:0007155]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; elastic fiber assembly [GO:0048251],GO:0005178; GO:0005201; GO:0005576; GO:0005615; GO:0005622; GO:0007155; GO:0008201; GO:0030036; GO:0030199; GO:0031012; GO:0032963; GO:0048251; GO:0062023; GO:0070062; GO:0098633,GO:0048251,cellular component assembly; extracellular matrix organization
CHOYP_LOC100369620.1.1.m.13590,0.00130095350334346,-0.0278216323078052,Yes,salmon,salmon,Q5E9Z7,DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (DNA-directed RNA polymerase III subunit D),Eukaryotic RPC4/POLR3D RNA polymerase subunit family,POLR3D,RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; positive regulation of innate immune response [GO:0045089]; positive regulation of interferon-beta production [GO:0032728]; transcription by RNA polymerase III [GO:0006383],GO:0003677; GO:0003899; GO:0005666; GO:0006383; GO:0032728; GO:0045087; GO:0045089; GO:0051607,GO:0045089,immune system process; response to stress
CHOYP_LOC100552337.1.1.m.19614,-0.00189338079086752,-0.0268564621231416,Yes,salmon,salmon,Q6ZQ58,La-related protein 1 (La ribonucleoprotein domain family member 1),LARP family,Larp1 Kiaa0731 Larp,cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; polysome [GO:0005844]; TORC1 complex [GO:0031931]; eukaryotic initiation factor 4E binding [GO:0008190]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; RNA cap binding [GO:0000339]; translation activator activity [GO:0008494]; translation initiation factor binding [GO:0031369]; cell proliferation [GO:0008283]; cellular response to rapamycin [GO:0072752]; mRNA stabilization [GO:0048255]; negative regulation of translation [GO:0017148]; positive regulation of macroautophagy [GO:0016239]; positive regulation of viral genome replication [GO:0045070]; response to amino acid starvation [GO:1990928]; TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]; translational initiation [GO:0006413],GO:0000339; GO:0003730; GO:0005737; GO:0005844; GO:0006413; GO:0008190; GO:0008283; GO:0008494; GO:0010494; GO:0016239; GO:0017148; GO:0031369; GO:0031929; GO:0031931; GO:0038202; GO:0045070; GO:0048027; GO:0048255; GO:0072752; GO:1990928,GO:0038202; GO:0048255,signal transduction; catabolic process; cellular nitrogen compound metabolic process; nucleobase-containing compound catabolic process
CHOYP_LOC753939.1.1.m.44379,-0.00532956921570523,-0.0267624382315616,Yes,salmon,salmon,Q9H845,Acyl-CoA dehydrogenase family member 9; mitochondrial (ACAD-9) (EC 1.3.99.-),Acyl-CoA dehydrogenase family,ACAD9,dendrite [GO:0030425]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; fatty-acyl-CoA binding [GO:0000062]; flavin adenine dinucleotide binding [GO:0050660]; long-chain-acyl-CoA dehydrogenase activity [GO:0004466]; medium-chain-acyl-CoA dehydrogenase activity [GO:0070991]; very-long-chain-acyl-CoA dehydrogenase activity [GO:0017099]; long-chain fatty acid metabolic process [GO:0001676]; medium-chain fatty acid metabolic process [GO:0051791]; mitochondrial respiratory chain complex I assembly [GO:0032981],GO:0000062; GO:0001676; GO:0004466; GO:0005634; GO:0005739; GO:0005743; GO:0017099; GO:0030425; GO:0031966; GO:0032981; GO:0050660; GO:0051791; GO:0070991,GO:0032981; GO:0051791,lipid metabolic process; mitochondrion organization; cellular component assembly; small molecule metabolic process; protein-containing complex assembly
CHOYP_PI3R4.1.1.m.14910,5.22371259580091e-05,-0.0270891434804087,Yes,salmon,salmon,Q99570,Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein),Protein kinase superfamily; Ser/Thr protein kinase family,PIK3R4 VPS15,autophagosome [GO:0005776]; axoneme [GO:0005930]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; nucleus-vacuole junction [GO:0071561]; phagocytic vesicle membrane [GO:0030670]; phosphatidylinositol 3-kinase complex; class III [GO:0035032]; phosphatidylinositol 3-kinase complex; class III; type I [GO:0034271]; phosphatidylinositol 3-kinase complex; class III; type II [GO:0034272]; 1-phosphatidylinositol-3-kinase activity [GO:0016303]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; autophagy of peroxisome [GO:0030242]; cellular response to glucose starvation [GO:0042149]; late endosome to vacuole transport [GO:0045324]; macroautophagy [GO:0016236]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; protein phosphorylation [GO:0006468]; protein targeting to vacuole [GO:0006623]; receptor catabolic process [GO:0032801]; regulation of cytokinesis [GO:0032465]; toll-like receptor 9 signaling pathway [GO:0034162],GO:0004672; GO:0004674; GO:0005524; GO:0005770; GO:0005776; GO:0005829; GO:0005930; GO:0006468; GO:0006623; GO:0015630; GO:0016020; GO:0016236; GO:0016303; GO:0030242; GO:0030670; GO:0032465; GO:0032801; GO:0034162; GO:0034271; GO:0034272; GO:0035032; GO:0042149; GO:0043231; GO:0043552; GO:0045324; GO:0071561,GO:0032801; GO:0042149; GO:0045324,transport; response to stress; vacuolar transport; catabolic process; vesicle-mediated transport
CHOYP_SC24B.1.2.m.95,-0.00405898299723467,-0.027790520850742,Yes,salmon,salmon,O95487,Protein transport protein Sec24B (SEC24-related protein B),SEC23/SEC24 family; SEC24 subfamily,SEC24B,COPII vesicle coat [GO:0030127]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; zinc ion binding [GO:0008270]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; aorta morphogenesis [GO:0035909]; auditory receptor cell stereocilium organization [GO:0060088]; cargo loading into COPII-coated vesicle [GO:0090110]; cochlear nucleus development [GO:0021747]; COPII vesicle coating [GO:0048208]; coronary artery morphogenesis [GO:0060982]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; lung lobe morphogenesis [GO:0060463]; neural tube closure [GO:0001843]; outflow tract morphogenesis [GO:0003151]; pulmonary artery morphogenesis [GO:0061156]; regulation of cargo loading into COPII-coated vesicle [GO:1901301]; regulation of establishment of planar polarity involved in neural tube closure [GO:0090178],GO:0000139; GO:0001843; GO:0002474; GO:0003151; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0008270; GO:0012507; GO:0019886; GO:0021747; GO:0030127; GO:0035909; GO:0048208; GO:0060088; GO:0060463; GO:0060982; GO:0061156; GO:0090110; GO:0090178; GO:1901301,GO:0019886; GO:0035909; GO:0060088; GO:0060982; GO:0061156,cell morphogenesis; immune system process; embryo development; cell differentiation; anatomical structure development
CHOYP_NDUFB9.1.2.m.37494,-0.00810221819685902,-0.0262514429518727,Yes,salmon,salmon,Q02369,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (CI-B22) (NADH-ubiquinone oxidoreductase B22 subunit),Complex I LYR family,NDUFB9 UQOR22,mitochondrial respiratory chain complex I [GO:0005747]; mitochondrial electron transport; NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981],GO:0005747; GO:0006120; GO:0032981,GO:0006120; GO:0032981,generation of precursor metabolites and energy; mitochondrion organization; cellular component assembly; cellular nitrogen compound metabolic process; small molecule metabolic process; protein-containing complex assembly
CHOYP_ISCW_ISCW011108.1.1.m.13934,0.00161084690847404,-0.0265680495323371,Yes,salmon,salmon,P62944,AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit),Adaptor complexes large subunit family,Ap2b1 Clapb1,AP-2 adaptor complex [GO:0030122]; AP-type membrane coat adaptor complex [GO:0030119]; clathrin coat [GO:0030118]; glutamatergic synapse [GO:0098978]; postsynapse [GO:0098794]; cargo receptor activity [GO:0038024]; clathrin binding [GO:0030276]; protein-containing complex binding [GO:0044877]; aorta development [GO:0035904]; clathrin coat assembly [GO:0048268]; coronary vasculature development [GO:0060976]; negative regulation of neuron death [GO:1901215]; positive regulation of endocytosis [GO:0045807]; positive regulation of protein localization to membrane [GO:1905477]; postsynaptic neurotransmitter receptor internalization [GO:0098884]; ventricular septum development [GO:0003281],GO:0003281; GO:0030118; GO:0030119; GO:0030122; GO:0030276; GO:0035904; GO:0038024; GO:0044877; GO:0045807; GO:0048268; GO:0060976; GO:0098794; GO:0098884; GO:0098978; GO:1901215; GO:1905477,GO:0003281; GO:0035904; GO:0048268; GO:0060976; GO:0098884,transport; vesicle-mediated transport; cellular component assembly; anatomical structure development; protein-containing complex assembly
CHOYP_LOC100377501.1.1.m.13155,-0.00724577414596104,-0.0266306402462917,Yes,salmon,salmon,Q7ZWS1,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3-like),Dus family; Dus3 subfamily,dus3l,flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; tRNA dihydrouridine synthase activity [GO:0017150],GO:0017150; GO:0046872; GO:0050660,NA,NA
CHOYP_FABP6.2.2.m.59518,-0.000931459418639534,-0.0270263129557599,Yes,salmon,salmon,O01812,Fatty acid-binding protein homolog 6,Calycin superfamily; Fatty-acid binding protein (FABP) family,lbp-6 W02D3.5,lipid binding [GO:0008289],GO:0008289,NA,NA
CHOYP_BRAFLDRAFT_123969.1.1.m.15145,-0.00218058723366504,-0.0275899283533667,Yes,salmon,salmon,Q9QXT0,Protein canopy homolog 2 (MIR-interacting saposin-like protein) (Putative secreted protein ZSIG9) (Transmembrane protein 4),Canopy family,Cnpy2 Msap Tmem4 Zsig9,endoplasmic reticulum [GO:0005783]; negative regulation of gene expression [GO:0010629]; positive regulation of low-density lipoprotein particle receptor biosynthetic process [GO:0045716]; regulation of low-density lipoprotein particle clearance [GO:0010988],GO:0005783; GO:0010629; GO:0010988; GO:0045716,NA,NA
CHOYP_IPO9.1.4.m.24013,0.00555611597961454,-0.0267059401109911,Yes,salmon,salmon,Q91YE6,Importin-9 (Imp9) (Importin-9a) (Imp9a) (Importin-9b) (Imp9b) (Ran-binding protein 9) (RanBP9),Importin beta family,Ipo9 Imp9 Ranbp9,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear envelope [GO:0005635]; histone binding [GO:0042393]; protein transporter activity [GO:0008565]; Ran GTPase binding [GO:0008536]; protein import into nucleus [GO:0006606]; protein stabilization [GO:0050821]; ribosome biogenesis [GO:0042254],GO:0005635; GO:0005737; GO:0005829; GO:0006606; GO:0008536; GO:0008565; GO:0042254; GO:0042393; GO:0050821,NA,NA
CHOYP_BRAFLDRAFT_283981.1.1.m.7732,-0.00594369842430662,-0.0285984610734006,Yes,salmon,salmon,Q9YHY6,Condensin complex subunit 1 (Chromosome assembly protein XCAP-D2) (Chromosome condensation-related SMC-associated protein 1) (Chromosome-associated protein D2) (Eg7) (Non-SMC condensin I complex subunit D2),CND1 (condensin subunit 1) family,ncapd2 capd2 cnap1 eg7,chromosome [GO:0005694]; cytosol [GO:0005829]; nucleus [GO:0005634]; cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076],GO:0005634; GO:0005694; GO:0005829; GO:0007076; GO:0051301,NA,NA
CHOYP_CLC10.2.5.m.4673,0.000972723626535472,-0.0275174966612345,Yes,salmon,salmon,Q66S03,Galactose-specific lectin nattectin (CTL),True venom lectin family,,extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; toxin activity [GO:0090729]; inflammatory response [GO:0006954],GO:0005576; GO:0006954; GO:0030246; GO:0046872; GO:0090729,NA,NA
CHOYP_ABCF2.1.2.m.28360,0.000159207691025131,-0.0281273701739575,Yes,salmon,salmon,Q99LE6,ATP-binding cassette sub-family F member 2,ABC transporter superfamily; ABCF family; EF3 subfamily,Abcf2,mitochondrion [GO:0005739]; ATP binding [GO:0005524]; ATPase activity [GO:0016887],GO:0005524; GO:0005739; GO:0016887,NA,NA
CHOYP_CALM.42.50.m.56135,0.00360183549358428,-0.0264794840670549,Yes,salmon,salmon,P0DP35,Calmodulin-2 B,Calmodulin family,calm2-b,calcium ion binding [GO:0005509]; signaling receptor binding [GO:0005102]; calcium-mediated signaling [GO:0019722],GO:0005102; GO:0005509; GO:0019722,NA,NA
CHOYP_XPO7.1.1.m.50167,-0.00530341024151338,-0.0272739051530674,Yes,salmon,salmon,Q5ZLT0,Exportin-7,Exportin family,XPO7 RCJMB04_4p4,cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nuclear export signal receptor activity [GO:0005049]; Ran GTPase binding [GO:0008536]; protein export from nucleus [GO:0006611],GO:0005049; GO:0005643; GO:0005737; GO:0006611; GO:0008536,NA,NA
CHOYP_contig_007115.m.8183,0.00293459332143836,-0.0276337931292546,Yes,salmon,salmon,Q58DT4,Pyrroline-5-carboxylate reductase 1; mitochondrial (P5C reductase 1) (P5CR 1) (EC 1.5.1.2),Pyrroline-5-carboxylate reductase family,PYCR1,mitochondrion [GO:0005739]; identical protein binding [GO:0042802]; pyrroline-5-carboxylate reductase activity [GO:0004735]; cellular response to oxidative stress [GO:0034599]; L-proline biosynthetic process [GO:0055129]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; proline biosynthetic process [GO:0006561]; regulation of mitochondrial membrane potential [GO:0051881],GO:0004735; GO:0005739; GO:0006561; GO:0034599; GO:0042802; GO:0051881; GO:0055129; GO:1903206,NA,NA
CHOYP_ACSS3.1.1.m.64144,-0.00593080461365859,-0.0276783572531125,Yes,salmon,salmon,Q5REB8,Acyl-CoA synthetase short-chain family member 3; mitochondrial (EC 6.2.1.1),ATP-dependent AMP-binding enzyme family,ACSS3,mitochondrion [GO:0005739]; acetate-CoA ligase activity [GO:0003987]; ATP binding [GO:0005524],GO:0003987; GO:0005524; GO:0005739,NA,NA
CHOYP_AMPD2.1.2.m.1295,-0.00719109583813663,-0.0263696611805351,Yes,salmon,salmon,Q01433,AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L),Metallo-dependent hydrolases superfamily; Adenosine and AMP deaminases family,AMPD2,cytosol [GO:0005829]; AMP deaminase activity [GO:0003876]; metal ion binding [GO:0046872]; cyclic purine nucleotide metabolic process [GO:0052652]; energy homeostasis [GO:0097009]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]; purine-containing compound salvage [GO:0043101],GO:0003876; GO:0005829; GO:0006188; GO:0032264; GO:0043101; GO:0046872; GO:0052652; GO:0097009,NA,NA
CHOYP_LOC100379027.1.1.m.27022,-0.00261901092674071,-0.0264301492940636,Yes,salmon,salmon,Q5RK00,39S ribosomal protein L46; mitochondrial (L46mt) (MRP-L46),Mitochondrion-specific ribosomal protein mL46 family,Mrpl46,cell junction [GO:0030054]; mitochondrial large ribosomal subunit [GO:0005762]; nucleoplasm [GO:0005654]; hydrolase activity [GO:0016787]; structural constituent of ribosome [GO:0003735],GO:0003735; GO:0005654; GO:0005762; GO:0016787; GO:0030054,NA,NA
CHOYP_RRP5.1.1.m.7375,-0.00139824412444017,-0.026490454783373,Yes,salmon,salmon,Q14690,Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11),,PDCD11 KIAA0185,cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]; RNA binding [GO:0003723]; transcription factor binding [GO:0008134]; mRNA processing [GO:0006397]; rRNA processing [GO:0006364],GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006364; GO:0006397; GO:0008134; GO:0032040,NA,NA
CHOYP_BRAFLDRAFT_123736.1.1.m.48671,0.00954293750342606,-0.0264276725949308,Yes,salmon,salmon,A0A0R4IVV0,Microsomal triglyceride transfer protein large subunit,,mttp mtp,basolateral plasma membrane [GO:0016323]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; lipid binding [GO:0008289]; lipid transporter activity [GO:0005319]; phospholipid transporter activity [GO:0005548]; cholesterol homeostasis [GO:0042632]; digestion [GO:0007586]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; lipoprotein biosynthetic process [GO:0042158]; lipoprotein metabolic process [GO:0042157]; long-chain fatty acid transport [GO:0015909]; medium-chain fatty acid transport [GO:0001579]; sprouting angiogenesis [GO:0002040],GO:0001579; GO:0002040; GO:0005319; GO:0005548; GO:0005783; GO:0005794; GO:0006629; GO:0006869; GO:0007586; GO:0008289; GO:0015909; GO:0016323; GO:0042157; GO:0042158; GO:0042632,NA,NA
CHOYP_ZC3HF.1.1.m.39867,-0.00349456858853946,-0.0294300918509305,Yes,salmon,salmon,Q8WU90,Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4),ZC3H15/TMA46 family,ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730,cytosol [GO:0005829]; nucleolus [GO:0005730]; cadherin binding [GO:0045296]; DNA-binding transcription factor activity; RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; cytokine-mediated signaling pathway [GO:0019221]; cytoplasmic translation [GO:0002181],GO:0000981; GO:0002181; GO:0003723; GO:0005730; GO:0005829; GO:0019221; GO:0045296; GO:0046872,NA,NA
CHOYP_U520.1.1.m.7087,0.00348784354874889,-0.0291333660076899,Yes,salmon,salmon,O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD),Helicase family; SKI2 subfamily,SNRNP200 ASCC3L1 HELIC2 KIAA0788,catalytic step 2 spliceosome [GO:0071013]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; ATP binding [GO:0005524]; ATP-dependent helicase activity [GO:0008026]; ATP-dependent RNA helicase activity [GO:0004004]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; cis assembly of pre-catalytic spliceosome [GO:0000354]; mRNA splicing; via spliceosome [GO:0000398]; osteoblast differentiation [GO:0001649]; spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) [GO:0000388],GO:0000354; GO:0000388; GO:0000398; GO:0001649; GO:0003723; GO:0004004; GO:0005524; GO:0005634; GO:0005654; GO:0005681; GO:0005682; GO:0008026; GO:0016020; GO:0042802; GO:0046540; GO:0071013; GO:0071014,NA,NA
CHOYP_BRAFLDRAFT_63281.2.2.m.46528,0.00585279944661579,-0.0276573321807968,Yes,salmon,salmon,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004705.m.5404,-0.0053010109004046,-0.0264925748493679,Yes,salmon,salmon,NA,NA,NA,NA,NA,NA,NA,NA
